"destination_airport_name","source_airport_name","airline_ID","source_airport_ID","destination_airport_ID","capacity","airline_name","source_airport_country","destination_airport_country"
"Abraham Lincoln Capital Airport","Charlotte County Airport","35","7056","4336",142,"Allegiant Air","United States","United States"
"Abraham Lincoln Capital Airport","Orlando Sanford International Airport","35","4167","4336",142,"Allegiant Air","United States","United States"
"Akhiok Airport","Kodiak Airport","1109","3531","7160",7,"Astair","United States","United States"
"Akiachak Airport","Kwethluk Airport","16726","7095","9742",7,"Era Alaska","United States","United States"
"Akiachak Airport","Kwethluk Airport","1173","7095","9742",7,"Airbus France","United States","United States"
"Akiachak Airport","Akiak Airport","16726","7217","9742",7,"Era Alaska","United States","United States"
"Akiak Airport","Akiachak Airport","16726","9742","7217",7,"Era Alaska","United States","United States"
"Akiak Airport","Akiachak Airport","1173","9742","7217",7,"Airbus France","United States","United States"
"Akiak Airport","Tuluksak Airport","16726","7218","7217",7,"Era Alaska","United States","United States"
"Alakanuk Airport","Emmonak Airport","16726","7087","7199",7,"Era Alaska","United States","United States"
"Albany International Airport","Orlando","1316","3878","3864",142,"AirTran Airways","United States","United States"
"Albany International Airport","Orlando","4547","3878","3864",142,"Southwest Airlines","United States","United States"
"Albany International Airport","Ogdensburg International Airport","1629","3724","3864",7,"Cape Air","United States","United States"
"Allakaket Airport","Fairbanks International Airport","55","3832","6839",12,"Astral Aviation","United States","United States"
"Allakaket Airport","Bettles Airport","55","3417","6839",12,"Astral Aviation","United States","United States"
"Alliance Municipal Airport","Denver International Airport","2607","3751","7067",10,"Great Lakes Airlines","United States","United States"
"Alliance Municipal Airport","Denver International Airport","5209","3751","7067",10,"United Airlines","United States","United States"
"Alliance Municipal Airport","Denver International Airport","2468","3751","7067",10,"Frontier Airlines","United States","United States"
"Altoona Blair County Airport","John Murtha Johnstown Cambria County Airport","5209","4169","3694",37,"United Airlines","United States","United States"
"Ambler Airport","Ralph Wien Memorial Airport","1472","3693","7177",12,"Bering Air","United States","United States"
"Ambler Airport","Kobuk Airport","1472","7180","7177",12,"Bering Air","United States","United States"
